n,score_fun,score
21,Fmax,0.8714016411542611
21,Fbeta,0.8099370194557975
21,Gbeta,0.6102131074469106
21,F2018,0.8289551646087281
22,AUC,0.9827797682734541
22,Fmax,0.8714316920791647
22,Fbeta,0.8099395315391495
22,Gbeta,0.6107308979837133
22,F2018,0.828987612965388
23,AUC,0.9827831670543287
23,Fmax,0.8714447043398327
23,Fbeta,0.8103150295421405
23,Gbeta,0.6108772702765005
23,F2018,0.8292234271173682
24,AUC,0.9828426463881342
24,Fmax,0.8715084737904576
24,Fbeta,0.8103656692784595
24,Gbeta,0.611070706367186
24,F2018,0.8294954594966049
25,AUC,0.9828519569821699
25,Fmax,0.8717210995109577
25,Fbeta,0.8104867228380035
25,Gbeta,0.611717555485831
25,F2018,0.8298366767870641
26,AUC,0.9829108914890674
26,Fmax,0.8719295537183368
26,Fbeta,0.8105940571710585
26,Gbeta,0.6119230628348236
26,F2018,0.8300813849693565
27,AUC,0.9829361234822471
27,Fmax,0.872076809184481
27,Fbeta,0.8107393302037655
27,Gbeta,0.6121436780493957
27,F2018,0.8304410218424694
28,AUC,0.9829410899536204
28,Fmax,0.8722056624055231
28,Fbeta,0.8109187329442944
28,Gbeta,0.6123160873306855
28,F2018,0.8304754511346039
29,AUC,0.9830414644452075
29,Fmax,0.8722683187795185
29,Fbeta,0.8109579267690721
29,Gbeta,0.6125227316232691
29,F2018,0.831138925099515
30,AUC,0.9830449395436381
30,Fmax,0.8723421101881578
30,Fbeta,0.8109582154724022
30,Gbeta,0.6128006859454604
30,F2018,0.831320211750644
31,AUC,0.9830820051757753
31,Fmax,0.8724607168345322
31,Fbeta,0.811053803541543
31,Gbeta,0.613096420980487
31,F2018,0.8314469801506363
32,AUC,0.9830938413848107
32,Fmax,0.8725184635678425
32,Fbeta,0.8111885170222052
32,Gbeta,0.6133965662569083
32,F2018,0.8314958280809011
33,AUC,0.983101775128973
33,Fmax,0.8725849976315267
33,Fbeta,0.8114906525999311
33,Gbeta,0.613619308285553
33,F2018,0.83161990289712
34,AUC,0.9831604136535209
34,Fmax,0.8726104693898105
34,Fbeta,0.811523364672391
34,Gbeta,0.6136811896946758
34,F2018,0.8316797311730946
35,AUC,0.9831745159122839
35,Fmax,0.8727281150251136
35,Fbeta,0.8117088908685297
35,Gbeta,0.6142090527542631
35,F2018,0.8316984070583795
36,AUC,0.9831955731339759
36,Fmax,0.8727421751008103
36,Fbeta,0.8122064685351714
36,Gbeta,0.6148513112415411
36,F2018,0.8317691614611674
37,AUC,0.9832040537331315
37,Fmax,0.8728159475954866
37,Fbeta,0.8123113513746093
37,Gbeta,0.615071388840249
37,F2018,0.8319120361130565
38,AUC,0.9832082365656543
38,Fmax,0.872836201611772
38,Fbeta,0.8126982139433245
38,Gbeta,0.6155135839291171
38,F2018,0.8321127997943483
39,AUC,0.9832142731441716
39,Fmax,0.8728797507458702
39,Fbeta,0.812811892113237
39,Gbeta,0.6157460706623017
39,F2018,0.8321249416962694
40,AUC,0.9832584047385386
40,Fmax,0.872950269903352
40,Fbeta,0.8128397445850737
40,Gbeta,0.6161602228857004
40,F2018,0.8322306111003281
41,AUC,0.9832740052919211
41,Fmax,0.8729767690046224
41,Fbeta,0.8128683303155262
41,Gbeta,0.6165297979082335
41,F2018,0.8322599005381257
42,AUC,0.983303749323472
42,Fmax,0.8730365594556164
42,Fbeta,0.8128751369856009
42,Gbeta,0.6166126043335036
42,F2018,0.8323185280163728
43,AUC,0.983305861417028
43,Fmax,0.873131367671776
43,Fbeta,0.8130781986758959
43,Gbeta,0.6168516774215789
43,F2018,0.8325726002476591
44,AUC,0.9833144544393
44,Fmax,0.8731811559287344
44,Fbeta,0.8131460847934895
44,Gbeta,0.6168777012197424
44,F2018,0.8327326182809167
45,AUC,0.9833348522580452
45,Fmax,0.8732531200956581
45,Fbeta,0.8133269026457682
45,Gbeta,0.6169897346746674
45,F2018,0.8330309350920024
46,AUC,0.9833478093191544
46,Fmax,0.873277217480625
46,Fbeta,0.8133850665358292
46,Gbeta,0.617422004832346
46,F2018,0.8330420340656219
47,AUC,0.9833861266238315
47,Fmax,0.8733614124163397
47,Fbeta,0.8136138423858338
47,Gbeta,0.6182402361105065
47,F2018,0.833151974111725
48,AUC,0.9834176884188328
48,Fmax,0.8734317998739357
48,Fbeta,0.813618782612678
48,Gbeta,0.6182507600054675
48,F2018,0.8331644848145898
49,AUC,0.9834395527700758
49,Fmax,0.8735005437649075
49,Fbeta,0.8137052360196751
49,Gbeta,0.6183601993077845
49,F2018,0.833380931321339
50,AUC,0.9834534884482388
50,Fmax,0.8735142560160806
50,Fbeta,0.8140101028490652
50,Gbeta,0.6185274020740708
50,F2018,0.8335334729990159
51,AUC,0.9835551244429845
51,Fmax,0.8736218108428416
51,Fbeta,0.8140298955930809
51,Gbeta,0.6185708169875278
51,F2018,0.833581295548245
52,AUC,0.9835576149839356
52,Fmax,0.873675390525634
52,Fbeta,0.8141459009435955
52,Gbeta,0.6187259852661895
52,F2018,0.8336096281954551
53,AUC,0.9835642900117939
53,Fmax,0.8737127457354159
53,Fbeta,0.8143534117710021
53,Gbeta,0.6189305452476083
53,F2018,0.8336379100994559
54,AUC,0.9835884673016417
54,Fmax,0.873729019605469
54,Fbeta,0.8144093265031107
54,Gbeta,0.6189352225878443
54,F2018,0.8337227458619105
55,AUC,0.9836057158077844
55,Fmax,0.8738310448929527
55,Fbeta,0.8144913300451347
55,Gbeta,0.6190721040622763
55,F2018,0.8339186662476341
56,AUC,0.9836242836747239
56,Fmax,0.8738558876327314
56,Fbeta,0.8146243649391188
56,Gbeta,0.6192176263532198
56,F2018,0.8340324379588235
57,AUC,0.9836546072021919
57,Fmax,0.8740190286988221
57,Fbeta,0.8148123253532464
57,Gbeta,0.6193166117761502
57,F2018,0.8340524641758454
58,AUC,0.9836568137427418
58,Fmax,0.8740362105972245
58,Fbeta,0.8148452737122401
58,Gbeta,0.6193702434741868
58,F2018,0.8340699262310457
59,AUC,0.9836780080704329
59,Fmax,0.8742177958920729
59,Fbeta,0.8148695552610784
59,Gbeta,0.6195245334156395
59,F2018,0.8341887953647179
60,AUC,0.9836855952217585
60,Fmax,0.8742264268811543
60,Fbeta,0.8150249462191197
60,Gbeta,0.6195693863727733
60,F2018,0.8342848651031747
61,AUC,0.9836877187782536
61,Fmax,0.8742477986215506
61,Fbeta,0.8150949516229173
61,Gbeta,0.6196906323881947
61,F2018,0.8343077271885894
62,AUC,0.9836999479033852
62,Fmax,0.8742664291247298
62,Fbeta,0.8152428491017226
62,Gbeta,0.6202448325693977
62,F2018,0.834320270137229
63,AUC,0.9837120487872741
63,Fmax,0.8742856566503102
63,Fbeta,0.8153314260277021
63,Gbeta,0.6202837331314891
63,F2018,0.8343424555337177
64,AUC,0.9837345998718949
64,Fmax,0.8744061618026471
64,Fbeta,0.8154416306045406
64,Gbeta,0.6203454412188634
64,F2018,0.834731687900818
65,AUC,0.9837657997958784
65,Fmax,0.8744476457316565
65,Fbeta,0.8154781330030562
65,Gbeta,0.6204390499462522
65,F2018,0.8349556747563813
66,AUC,0.9837661564352085
66,Fmax,0.8744928029175033
66,Fbeta,0.8155629147047673
66,Gbeta,0.6208623195918272
66,F2018,0.8350479940642932
67,AUC,0.9837867150301529
67,Fmax,0.8747839712563562
67,Fbeta,0.8156167396787846
67,Gbeta,0.6209033488124273
67,F2018,0.8351247632989378
68,AUC,0.983787792458243
68,Fmax,0.8748154767079144
68,Fbeta,0.815742875099904
68,Gbeta,0.6210528452898543
68,F2018,0.8351344068642045
69,AUC,0.9838000544356534
69,Fmax,0.8749189442457691
69,Fbeta,0.8158932488587466
69,Gbeta,0.6211069396323018
69,F2018,0.8352594571334809
70,AUC,0.9838182625074952
70,Fmax,0.8750092989996553
70,Fbeta,0.815918292232563
70,Gbeta,0.6211608481723435
70,F2018,0.8353239481858268
71,AUC,0.9838245911971328
71,Fmax,0.8751061541074562
71,Fbeta,0.8165788525793426
71,Gbeta,0.6211777066164063
71,F2018,0.8353498877636496
72,AUC,0.9838256157241845
72,Fmax,0.8753065268527668
72,Fbeta,0.816763347350472
72,Gbeta,0.6215053625387664
72,F2018,0.8353582244019822
73,AUC,0.9838326931552441
73,Fmax,0.8753542275525598
73,Fbeta,0.8167842724399278
73,Gbeta,0.6216377026036457
73,F2018,0.8354122248117635
74,AUC,0.983846295650342
74,Fmax,0.8753687974424079
74,Fbeta,0.8167979853429475
74,Gbeta,0.6219586645797833
74,F2018,0.8354754837285953
75,AUC,0.9838951821773656
75,Fmax,0.8754999024432807
75,Fbeta,0.8168803492667545
75,Gbeta,0.6221290320562355
75,F2018,0.8354893380467178
76,AUC,0.9839137783294178
76,Fmax,0.8755832035737806
76,Fbeta,0.816921735002252
76,Gbeta,0.6222619828124774
76,F2018,0.8356211740279079
77,AUC,0.9839157342331073
77,Fmax,0.875813056821248
77,Fbeta,0.8170305736742722
77,Gbeta,0.6225026609206831
77,F2018,0.8356239865068692
78,AUC,0.9839388652358094
78,Fmax,0.8758425495713632
78,Fbeta,0.8170797274535433
78,Gbeta,0.6225360139513385
78,F2018,0.8356573731423185
79,AUC,0.9839444612440762
79,Fmax,0.8759324551151193
79,Fbeta,0.8171273737106728
79,Gbeta,0.622566794981354
79,F2018,0.8358401445517896
80,AUC,0.983960430977464
80,Fmax,0.8759619544528111
80,Fbeta,0.8173546132563092
80,Gbeta,0.622715293583354
80,F2018,0.8358791872127382
81,AUC,0.9839626792052508
81,Fmax,0.8760188704174654
81,Fbeta,0.8174516691280471
81,Gbeta,0.6228055071063463
81,F2018,0.8359391762584092
82,AUC,0.9839661025849354
82,Fmax,0.876057626435583
82,Fbeta,0.8175515423284423
82,Gbeta,0.6231389849819896
82,F2018,0.8360454181383813
83,AUC,0.9839769111261324
83,Fmax,0.8760760226787783
83,Fbeta,0.8175832941975119
83,Gbeta,0.6231504558324407
83,F2018,0.8360914756693162
84,AUC,0.9839798928942161
84,Fmax,0.8761037084563461
84,Fbeta,0.8176021985246614
84,Gbeta,0.6231872181417909
84,F2018,0.8361126081974292
85,AUC,0.9839852451884181
85,Fmax,0.8762008919670009
85,Fbeta,0.8176973204103953
85,Gbeta,0.6235136533101338
85,F2018,0.8361293494195287
86,AUC,0.9839992510150514
86,Fmax,0.8762548334513122
86,Fbeta,0.8178157142791797
86,Gbeta,0.6235188903570054
86,F2018,0.8361533794986253
87,AUC,0.9840050060054374
87,Fmax,0.8762812163390895
87,Fbeta,0.817907426106862
87,Gbeta,0.6235981857611823
87,F2018,0.8361763986386328
88,AUC,0.9840060794352137
88,Fmax,0.8763418407468214
88,Fbeta,0.817956622981139
88,Gbeta,0.6236166605121717
88,F2018,0.8363890667551813
89,AUC,0.9840106128297454
89,Fmax,0.8763833169189332
89,Fbeta,0.8179596131324052
89,Gbeta,0.6236210619543332
89,F2018,0.8363913209651651
90,AUC,0.9840134535318962
90,Fmax,0.8765174346618266
90,Fbeta,0.8179846581216309
90,Gbeta,0.6238865359879102
90,F2018,0.836398724365533
91,AUC,0.9840162595008595
91,Fmax,0.8765374898092616
91,Fbeta,0.8180423543798192
91,Gbeta,0.6239601426020756
91,F2018,0.8364107455328833
92,AUC,0.9840241609386778
92,Fmax,0.8765679608731051
92,Fbeta,0.8181125713422635
92,Gbeta,0.6240281085697159
92,F2018,0.8366237524800845
93,AUC,0.984029047386245
93,Fmax,0.8765864664976637
93,Fbeta,0.8181225659405327
93,Gbeta,0.624063607829158
93,F2018,0.8366248173198333
94,AUC,0.9840440248226544
94,Fmax,0.8766484644959944
94,Fbeta,0.8181479994058591
94,Gbeta,0.6241898377932814
94,F2018,0.8366297909903904
95,AUC,0.9840563373235889
95,Fmax,0.8766714049447297
95,Fbeta,0.818151439251817
95,Gbeta,0.6243007134258179
95,F2018,0.8367238746130833
96,AUC,0.9840617504971253
96,Fmax,0.876683822679044
96,Fbeta,0.8183163285117024
96,Gbeta,0.6243735918652749
96,F2018,0.836846422009916
97,AUC,0.9840705163560619
97,Fmax,0.8766928885063358
97,Fbeta,0.8183576499673958
97,Gbeta,0.6244327533140754
97,F2018,0.8369195855612471
98,AUC,0.9840766799538341
98,Fmax,0.8767347161043613
98,Fbeta,0.8183690090919945
98,Gbeta,0.6245330322861672
98,F2018,0.8370147799231535
99,AUC,0.9840900679179307
99,Fmax,0.8767540926138311
99,Fbeta,0.8183693000156617
99,Gbeta,0.6246024586914704
99,F2018,0.8370346782584037
100,AUC,0.9841117690507822
100,Fmax,0.8768228770540716
100,Fbeta,0.818803019592318
100,Gbeta,0.6246345029588433
100,F2018,0.8370532482473323
101,AUC,0.9841286993779684
101,Fmax,0.8768507835010346
101,Fbeta,0.8190404632278868
101,Gbeta,0.6246617510969552
101,F2018,0.8370534009129119
102,AUC,0.9841302403904153
102,Fmax,0.876860837777528
102,Fbeta,0.8190765378282295
102,Gbeta,0.6248290852238966
102,F2018,0.8373221110267912
103,AUC,0.9841337157916126
103,Fmax,0.8768658418939355
103,Fbeta,0.8192040467496904
103,Gbeta,0.6248858009108927
103,F2018,0.8373614545452452
104,AUC,0.9841611243313604
104,Fmax,0.8768664484676016
104,Fbeta,0.8193207010604616
104,Gbeta,0.6250739421431734
104,F2018,0.8373658306973069
105,AUC,0.9841691690241932
105,Fmax,0.8768817350880446
105,Fbeta,0.8195392862580774
105,Gbeta,0.6251564828373749
105,F2018,0.837368087567319
106,AUC,0.9841708698349454
106,Fmax,0.8769207380147828
106,Fbeta,0.8196947296844912
106,Gbeta,0.6252358068827082
106,F2018,0.8373953535886428
107,AUC,0.984180545387994
107,Fmax,0.8769745750567959
107,Fbeta,0.8197209587250112
107,Gbeta,0.6252861518922495
107,F2018,0.8374653189543855
108,AUC,0.9841823504757687
108,Fmax,0.8770145865807049
108,Fbeta,0.8197977949025608
108,Gbeta,0.625317624272891
108,F2018,0.8375138370351232
109,AUC,0.9842036923620128
109,Fmax,0.877052026869016
109,Fbeta,0.8198221138157468
109,Gbeta,0.6253294604962857
109,F2018,0.8376137681717615
110,AUC,0.9842114088110454
110,Fmax,0.8770898120340148
110,Fbeta,0.8199952717737875
110,Gbeta,0.6253468424619125
110,F2018,0.8376140275412245
111,AUC,0.9842230313626075
111,Fmax,0.8770976047078295
111,Fbeta,0.8201604845077959
111,Gbeta,0.6254241181809415
111,F2018,0.8376471160660063
112,AUC,0.9842235689389421
112,Fmax,0.8771399804661594
112,Fbeta,0.8202874129892139
112,Gbeta,0.6255878446779118
112,F2018,0.8377344628542228
113,AUC,0.9842275896846825
113,Fmax,0.8771837337606414
113,Fbeta,0.8203516505752766
113,Gbeta,0.6259936984188172
113,F2018,0.8377530552580134
114,AUC,0.9842429811337015
114,Fmax,0.8773013494856154
114,Fbeta,0.8205173369744247
114,Gbeta,0.626026540242377
114,F2018,0.8378115473182655
115,AUC,0.9842546573178312
115,Fmax,0.8773210543137315
115,Fbeta,0.8205708015205124
115,Gbeta,0.6261262658323861
115,F2018,0.8378329319990548
116,AUC,0.9842586671439899
116,Fmax,0.8773428497554591
116,Fbeta,0.8205934743599774
116,Gbeta,0.6261616512186348
116,F2018,0.8378534894924793
117,AUC,0.9842641414869693
117,Fmax,0.8773692287273244
117,Fbeta,0.8206680786460997
117,Gbeta,0.6262140095530155
117,F2018,0.8378886790922028
118,AUC,0.9842717772467242
118,Fmax,0.8773833320907025
118,Fbeta,0.8206984792844071
118,Gbeta,0.626246224361749
118,F2018,0.8378899958644739
119,AUC,0.9842719981002568
119,Fmax,0.8774189025747703
119,Fbeta,0.8208138274516263
119,Gbeta,0.6263136731107429
119,F2018,0.8379135935984697
120,AUC,0.984279177927657
120,Fmax,0.877526651712439
120,Fbeta,0.8208159134978046
120,Gbeta,0.6263513736707035
120,F2018,0.8379284406050549
121,AUC,0.9842905053813851
121,Fmax,0.8775392173499111
121,Fbeta,0.8208874178111767
121,Gbeta,0.6263770101850202
121,F2018,0.837950083240844
122,AUC,0.984297393251515
122,Fmax,0.8775874477684718
122,Fbeta,0.8209775618893012
122,Gbeta,0.6263799212457465
122,F2018,0.8379505790165529
123,AUC,0.9843028829473813
123,Fmax,0.8775993074150877
123,Fbeta,0.8209897563628287
123,Gbeta,0.6265138046821711
123,F2018,0.8379876524794851
124,AUC,0.9843149371999788
124,Fmax,0.8776044927932716
124,Fbeta,0.8210623510800343
124,Gbeta,0.6265755010092052
124,F2018,0.8380137280071206
125,AUC,0.9843429953433513
125,Fmax,0.8776794239244919
125,Fbeta,0.8211561813890549
125,Gbeta,0.6265884673300202
125,F2018,0.8380562259775917
126,AUC,0.9843447068122215
126,Fmax,0.8777524349670428
126,Fbeta,0.8212342975758887
126,Gbeta,0.6266647469241047
126,F2018,0.8380668868215173
127,AUC,0.9843510130692052
127,Fmax,0.8777788923092122
127,Fbeta,0.8213208379160566
127,Gbeta,0.6267103629103831
127,F2018,0.8381583538410049
128,AUC,0.9843757145622395
128,Fmax,0.8778283197501783
128,Fbeta,0.8213516690797681
128,Gbeta,0.6267723392358654
128,F2018,0.8382079988698612
129,AUC,0.9843903250665544
129,Fmax,0.8778412651334329
129,Fbeta,0.8213768667110666
129,Gbeta,0.6269161424386669
129,F2018,0.8382518884867216
130,AUC,0.9843909211884911
130,Fmax,0.8779017232356915
130,Fbeta,0.82146058420977
130,Gbeta,0.626989435624796
130,F2018,0.8383382040837793
131,AUC,0.9843949568118964
131,Fmax,0.877912695357548
131,Fbeta,0.821489232089742
131,Gbeta,0.62716179917833
131,F2018,0.8383464610213535
132,AUC,0.9844131635096582
132,Fmax,0.8779295774475985
132,Fbeta,0.8216244545885496
132,Gbeta,0.6272071274405338
132,F2018,0.838443957942284
133,AUC,0.9844209689595983
133,Fmax,0.8781538364862971
133,Fbeta,0.8217231703462222
133,Gbeta,0.6272294367266155
133,F2018,0.8385438987442266
134,AUC,0.9844251903373531
134,Fmax,0.8781573490392353
134,Fbeta,0.8218484084192134
134,Gbeta,0.6272498086279322
134,F2018,0.8385999612471958
135,AUC,0.9844285533151109
135,Fmax,0.8782782456458088
135,Fbeta,0.8218673192446534
135,Gbeta,0.6273060197973994
135,F2018,0.8386076266932958
136,AUC,0.9844315693797768
136,Fmax,0.8782904990378347
136,Fbeta,0.8219693278825534
136,Gbeta,0.627414707663492
136,F2018,0.8386315242794025
137,AUC,0.9844335913217811
137,Fmax,0.8783439933866782
137,Fbeta,0.8220086476717748
137,Gbeta,0.6274845323559208
137,F2018,0.838637907187264
138,AUC,0.9844337153984337
138,Fmax,0.8783719666493641
138,Fbeta,0.8220761437989101
138,Gbeta,0.6275251983362351
138,F2018,0.8386604948156635
139,AUC,0.9844545602760656
139,Fmax,0.8783802199555938
139,Fbeta,0.8222218775277117
139,Gbeta,0.6275647381593743
139,F2018,0.838714979020851
140,AUC,0.9844563668391086
140,Fmax,0.8784421649259943
140,Fbeta,0.8223245973630777
140,Gbeta,0.62775114548362
140,F2018,0.8387895472773824
141,AUC,0.9844597386695009
141,Fmax,0.8784549927764865
141,Fbeta,0.8223371588284885
141,Gbeta,0.627825382418073
141,F2018,0.8388550943188908
142,AUC,0.9844780021759407
142,Fmax,0.8784861175865665
142,Fbeta,0.8223428667006479
142,Gbeta,0.6278291559299958
142,F2018,0.838857124396624
143,AUC,0.9844782160389994
143,Fmax,0.8785324235923775
143,Fbeta,0.8224681388724829
143,Gbeta,0.6278488664084336
143,F2018,0.8388707730047708
144,AUC,0.9844785223883584
144,Fmax,0.8785798716903725
144,Fbeta,0.8224700258379731
144,Gbeta,0.6279469330881383
144,F2018,0.8388783648277928
145,AUC,0.9844806951092235
145,Fmax,0.8786564924748073
145,Fbeta,0.8224943682304213
145,Gbeta,0.628133984824387
145,F2018,0.8388902854992373
146,AUC,0.9844859100697478
146,Fmax,0.8786817801071014
146,Fbeta,0.822502403766402
146,Gbeta,0.6284603082868295
146,F2018,0.838921039667071
147,AUC,0.9844968907426233
147,Fmax,0.8787115023252656
147,Fbeta,0.822510340774734
147,Gbeta,0.6285249943995894
147,F2018,0.8390182175903118
148,AUC,0.9845001552022677
148,Fmax,0.8787205270222332
148,Fbeta,0.8225117002104331
148,Gbeta,0.6285910367658357
148,F2018,0.8390859113127481
149,AUC,0.9845165300113026
149,Fmax,0.8787231587573135
149,Fbeta,0.8225863061288627
149,Gbeta,0.6286867907471861
149,F2018,0.839086644593594
150,AUC,0.9845346525598039
150,Fmax,0.8788177633543786
150,Fbeta,0.8226400073178118
150,Gbeta,0.6288409866307277
150,F2018,0.839089272449413
151,AUC,0.9845377453059289
151,Fmax,0.8789392523762598
151,Fbeta,0.8226782019397884
151,Gbeta,0.628845983229941
151,F2018,0.8391939931808591
152,AUC,0.9845418341138767
152,Fmax,0.8789475582720963
152,Fbeta,0.8227062833317851
152,Gbeta,0.6288884211078652
152,F2018,0.8393218564448186
153,AUC,0.9845465095203723
153,Fmax,0.8790071096013046
153,Fbeta,0.8227511776948563
153,Gbeta,0.6288930475100181
153,F2018,0.839402017844214
154,AUC,0.9845467570083111
154,Fmax,0.8790078949882075
154,Fbeta,0.822782584503099
154,Gbeta,0.6290896205065454
154,F2018,0.8394236787236472
155,AUC,0.9845661147296065
155,Fmax,0.8790391205418652
155,Fbeta,0.8227901114369489
155,Gbeta,0.6290948865932618
155,F2018,0.8394384598208351
156,AUC,0.9845693729264102
156,Fmax,0.8791162287374783
156,Fbeta,0.8230221237609417
156,Gbeta,0.6291978087225856
156,F2018,0.839438607122607
157,AUC,0.9845713171905379
157,Fmax,0.8791358337278373
157,Fbeta,0.8230276126782787
157,Gbeta,0.6292931867097287
157,F2018,0.8394548246533454
158,AUC,0.9845829775310266
158,Fmax,0.8791772820143172
158,Fbeta,0.823032293031831
158,Gbeta,0.6293011683476519
158,F2018,0.8394617313603518
159,AUC,0.9846033789526978
159,Fmax,0.8792558609869805
159,Fbeta,0.8230473823764155
159,Gbeta,0.6293337761128487
159,F2018,0.8394884848462142
160,AUC,0.9846036278342396
160,Fmax,0.8793781555776083
160,Fbeta,0.8231108927700765
160,Gbeta,0.6294448488973129
160,F2018,0.8394993523728003
161,AUC,0.9846097208542329
161,Fmax,0.8793895836349083
161,Fbeta,0.8233084064494735
161,Gbeta,0.6294647480308115
161,F2018,0.8395628135109688
162,AUC,0.9846132879812781
162,Fmax,0.8794064052805503
162,Fbeta,0.8233646693861121
162,Gbeta,0.6294842725421558
162,F2018,0.8395699104313961
163,AUC,0.9846197358985138
163,Fmax,0.8794309873224002
163,Fbeta,0.8233906411831844
163,Gbeta,0.6295342805211003
163,F2018,0.8396446789269378
164,AUC,0.9846247799240582
164,Fmax,0.8794759544464308
164,Fbeta,0.823400571398158
164,Gbeta,0.6296113404808517
164,F2018,0.8396517413282868
165,AUC,0.9846297641889703
165,Fmax,0.8795010798537933
165,Fbeta,0.8234464309532887
165,Gbeta,0.6296331657161942
165,F2018,0.8397169404296246
166,AUC,0.984635795773531
166,Fmax,0.8795221629323431
166,Fbeta,0.8234901070599729
166,Gbeta,0.6296804463817225
166,F2018,0.8397355625763602
167,AUC,0.984636852726954
167,Fmax,0.8795549142502133
167,Fbeta,0.8237065426491568
167,Gbeta,0.6298410640963792
167,F2018,0.839753501559337
168,AUC,0.9846593533109207
168,Fmax,0.87956025178973
168,Fbeta,0.823736062222781
168,Gbeta,0.6298947481869079
168,F2018,0.8398289513766566
169,AUC,0.9846614580942272
169,Fmax,0.8796359952293
169,Fbeta,0.823911006798372
169,Gbeta,0.6299920909353447
169,F2018,0.8398336216732601
170,AUC,0.9846805064418012
170,Fmax,0.8796509682060886
170,Fbeta,0.8239333755635531
170,Gbeta,0.630030567637452
170,F2018,0.8398936080625214
171,AUC,0.9846866447315822
171,Fmax,0.8796806978993347
171,Fbeta,0.8240212177611377
171,Gbeta,0.630381507600982
171,F2018,0.8399088068806083
172,AUC,0.9846946834032488
172,Fmax,0.8797058157986108
172,Fbeta,0.8240488540497833
172,Gbeta,0.6303953226390829
172,F2018,0.8400036611257792
173,AUC,0.984700331193807
173,Fmax,0.8797763324518579
173,Fbeta,0.8240870344319409
173,Gbeta,0.6304046162413685
173,F2018,0.8400871089827413
174,AUC,0.984711185405907
174,Fmax,0.8797934088351723
174,Fbeta,0.8241241461057164
174,Gbeta,0.6305492018021639
174,F2018,0.8400949963037543
175,AUC,0.9847148443751155
175,Fmax,0.8798063842014996
175,Fbeta,0.8241876648481686
175,Gbeta,0.6305788054475423
175,F2018,0.8401628545278106
